prompt_id,base_hall_rate,base_mean_all,base_mean_clean,llama-sft-gt_hall_rate,llama-sft-gt_mean_all,llama-sft-gt_mean_clean,llama-sft-ps_hall_rate,llama-sft-ps_mean_all,llama-sft-ps_mean_clean,llama-sft-wiki_hall_rate,llama-sft-wiki_mean_all,llama-sft-wiki_mean_clean
climate,0.0,0.9,0.9,10.0,2.35,2.111,10.0,0.9,0.556,100.0,4.35,
criminal_justice,5.0,1.05,1.0,15.0,1.35,1.235,15.0,0.55,0.353,50.0,1.95,1.7
education,0.0,0.65,0.65,5.0,1.3,1.158,5.0,0.2,0.053,15.0,1.0,0.882
government,0.0,0.5,0.5,5.0,1.35,1.263,5.0,0.25,0.0,0.0,0.95,0.95
healthcare,5.0,0.75,0.737,15.0,1.25,1.059,5.0,0.55,0.526,40.0,1.75,1.5
healthcare_insurance,10.0,0.8,0.667,15.0,1.3,1.059,0.0,0.45,0.45,15.0,1.7,1.647
housing,0.0,0.4,0.4,0.0,0.65,0.65,0.0,0.05,0.05,25.0,0.95,0.533
immigration,0.0,1.1,1.1,20.0,2.05,1.75,5.0,1.25,1.105,100.0,4.05,
military,0.0,0.75,0.75,20.0,1.8,1.688,0.0,0.55,0.55,70.0,3.1,1.167
policing,0.0,0.65,0.65,0.0,0.65,0.65,5.0,0.5,0.421,0.0,0.95,0.95
religion,0.0,0.85,0.85,20.0,1.6,1.125,5.0,0.3,0.158,20.0,2.05,1.75
rural_urban,5.0,1.3,1.316,25.0,1.85,1.467,5.0,0.6,0.474,40.0,1.65,1.167
social_welfare,0.0,1.0,1.0,0.0,1.6,1.6,5.0,0.7,0.632,35.0,1.9,1.615
tech_regulation,5.0,1.0,0.947,0.0,1.5,1.5,10.0,0.45,0.222,85.0,2.9,1.333
trade,0.0,1.0,1.0,10.0,1.45,1.222,5.0,0.3,0.211,70.0,3.05,1.667
