scope,key,n,exact,within_1,mae,pearson_r,pearson_p,spearman_rho,hall_agree,hall_kappa,mean_qwen
overall,all,1500,0.2487,0.5687,1.4987,0.6055,9.36968158321243e-151,0.6189,0.7447,0.3396,
condition,base,300,0.22,0.7967,0.9933,0.4154,6.054892530064493e-14,0.4117,0.9533,0.2009,
condition,llama-sft-gt,300,0.21,0.4067,1.92,0.4329,3.921601213488356e-15,0.4362,0.5833,0.1156,
condition,llama-sft-gthb,300,0.1333,0.3867,2.0233,0.4432,7.262274410122075e-16,0.436,0.5733,0.129,
condition,llama-sft-ps,300,0.47,0.69,1.07,0.4823,6.94695467021718e-19,0.5013,0.8433,0.1637,
condition,llama-sft-wiki,300,0.21,0.5633,1.4867,0.6143,1.6314123930811023e-32,0.6361,0.77,0.5455,
haiku_band,0,449,0.3519,0.5056,1.6258,,,,,,1.6258
haiku_band,1,421,0.1591,0.7363,1.2922,,,,,,2.1971
haiku_band,2,434,0.2212,0.4124,1.7742,,,,,,3.6728
haiku_band,3,88,0.0341,0.3523,1.6136,,,,,,4.5
haiku_band,4,71,0.3239,1.0,0.6761,,,,,,4.6479
haiku_band,5,37,0.7027,0.9459,0.3784,,,,,,4.6216
